team,season,playoff
ANA,2008,1
ARI,2008,0
ATL,2008,0
BOS,2008,1
BUF,2008,0
CAR,2008,1
CBJ,2008,1
CGY,2008,1
CHI,2008,1
COL,2008,0
DAL,2008,0
DET,2008,1
EDM,2008,0
FLA,2008,0
L.A,2008,0
MIN,2008,0
MTL,2008,1
N.J,2008,1
NSH,2008,0
NYI,2008,0
NYR,2008,1
OTT,2008,0
PHI,2008,1
PIT,2008,1
S.J,2008,1
STL,2008,1
T.B,2008,0
TOR,2008,0
VAN,2008,1
WSH,2008,1
ANA,2009,0
ARI,2009,1
ATL,2009,0
BOS,2009,1
BUF,2009,1
CAR,2009,0
CBJ,2009,0
CGY,2009,0
CHI,2009,1
COL,2009,1
DAL,2009,0
DET,2009,1
EDM,2009,0
FLA,2009,0
L.A,2009,1
MIN,2009,0
MTL,2009,1
N.J,2009,1
NSH,2009,1
NYI,2009,0
NYR,2009,0
OTT,2009,1
PHI,2009,1
PIT,2009,1
S.J,2009,1
STL,2009,0
T.B,2009,0
TOR,2009,0
VAN,2009,1
WSH,2009,1
ANA,2010,1
ARI,2010,1
ATL,2010,0
BOS,2010,1
BUF,2010,1
CAR,2010,0
CBJ,2010,0
CGY,2010,0
CHI,2010,1
COL,2010,0
DAL,2010,0
DET,2010,1
EDM,2010,0
FLA,2010,0
L.A,2010,1
MIN,2010,0
MTL,2010,1
N.J,2010,0
NSH,2010,1
NYI,2010,0
NYR,2010,1
OTT,2010,0
PHI,2010,1
PIT,2010,1
S.J,2010,1
STL,2010,0
T.B,2010,1
TOR,2010,0
VAN,2010,1
WSH,2010,1
ANA,2011,0
ARI,2011,1
BOS,2011,1
BUF,2011,0
CAR,2011,0
CBJ,2011,0
CGY,2011,0
CHI,2011,1
COL,2011,0
DAL,2011,0
DET,2011,1
EDM,2011,0
FLA,2011,1
L.A,2011,1
MIN,2011,0
MTL,2011,0
N.J,2011,1
NSH,2011,1
NYI,2011,0
NYR,2011,1
OTT,2011,1
PHI,2011,1
PIT,2011,1
S.J,2011,1
STL,2011,1
T.B,2011,0
TOR,2011,0
VAN,2011,1
WPG,2011,0
WSH,2011,1
ANA,2012,1
ARI,2012,0
BOS,2012,1
BUF,2012,0
CAR,2012,0
CBJ,2012,0
CGY,2012,0
CHI,2012,1
COL,2012,0
DAL,2012,0
DET,2012,1
EDM,2012,0
FLA,2012,0
L.A,2012,1
MIN,2012,1
MTL,2012,1
N.J,2012,0
NSH,2012,0
NYI,2012,1
NYR,2012,1
OTT,2012,1
PHI,2012,0
PIT,2012,1
S.J,2012,1
STL,2012,1
T.B,2012,0
TOR,2012,1
VAN,2012,1
WPG,2012,0
WSH,2012,1
ANA,2013,1
ARI,2013,0
BOS,2013,1
BUF,2013,0
CAR,2013,0
CBJ,2013,1
CGY,2013,0
CHI,2013,1
COL,2013,1
DAL,2013,1
DET,2013,1
EDM,2013,0
FLA,2013,0
L.A,2013,1
MIN,2013,1
MTL,2013,1
N.J,2013,0
NSH,2013,0
NYI,2013,0
NYR,2013,1
OTT,2013,0
PHI,2013,1
PIT,2013,1
S.J,2013,1
STL,2013,1
T.B,2013,1
TOR,2013,0
VAN,2013,0
WPG,2013,0
WSH,2013,0
ANA,2014,1
ARI,2014,0
BOS,2014,0
BUF,2014,0
CAR,2014,0
CBJ,2014,0
CGY,2014,1
CHI,2014,1
COL,2014,0
DAL,2014,0
DET,2014,1
EDM,2014,0
FLA,2014,0
L.A,2014,0
MIN,2014,1
MTL,2014,1
N.J,2014,0
NSH,2014,1
NYI,2014,1
NYR,2014,1
OTT,2014,1
PHI,2014,0
PIT,2014,1
S.J,2014,0
STL,2014,1
T.B,2014,1
TOR,2014,0
VAN,2014,1
WPG,2014,1
WSH,2014,1
ANA,2015,1
ARI,2015,0
BOS,2015,0
BUF,2015,0
CAR,2015,0
CBJ,2015,0
CGY,2015,0
CHI,2015,1
COL,2015,0
DAL,2015,1
DET,2015,1
EDM,2015,0
FLA,2015,1
L.A,2015,1
MIN,2015,1
MTL,2015,0
