xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoff
0.52,0.5,0.51,299188.0,2413.99,225.99,166.11,544.07,76.51,1331.01,1003.32,214.69,226.15,214.82,2438.0,909.0,1136.0,4483.0,220.0,173.0,40.0,538.0,81.0,1130.0,1205.0,2218.0,3127.0,985.0,2293.0,1939.0,701.0,757.0,2514.0,585.0,248.0,71.52,70.0,84.47,78.0,56.0,86.0,4463.43,3347.0,3343.4,424.0,36.9,39.17,41.08,221.81,221.84,214.78,2320.46,210.89,160.35,526.64,75.25,1293.3,955.58,203.26,212.05,204.39,2340.0,882.0,1193.0,4415.0,233.0,171.0,35.0,501.0,81.0,1037.0,1199.0,2107.0,2989.0,959.0,2355.0,1969.0,679.0,801.0,2461.0,546.0,215.0,70.26,65.38,75.24,84.0,80.0,69.0,4452.89,3222.0,3239.46,519.0,35.79,37.22,41.02,205.65,206.62,201.85,1
0.5,0.49,0.49,299672.0,2273.23,203.15,155.24,517.66,74.66,1288.61,953.68,196.27,202.58,195.69,2266.0,927.0,1012.0,4205.0,214.0,163.0,41.0,464.0,57.0,1038.0,1259.0,2052.0,2979.0,847.0,2455.0,1746.0,462.0,633.0,2416.0,607.0,170.0,71.2,72.05,59.91,63.0,82.0,69.0,4168.08,3193.0,3169.62,360.0,34.74,36.03,37.36,200.54,199.83,195.84,2387.74,200.31,158.71,542.32,76.47,1334.09,1019.1,194.26,201.12,195.08,2414.0,917.0,1096.0,4427.0,239.0,137.0,37.0,526.0,50.0,1075.0,1304.0,2175.0,3092.0,840.0,2247.0,1536.0,434.0,620.0,2606.0,559.0,166.0,73.99,66.72,59.6,83.0,89.0,67.0,4469.78,3331.0,3356.75,313.0,34.93,28.79,30.65,204.59,205.46,201.73,0
0.51,0.52,0.52,300191.0,2727.77,253.65,183.76,608.46,87.51,1514.31,1140.31,237.79,251.83,236.02,2671.0,1117.0,1383.0,5171.0,210.0,146.0,30.0,588.0,91.0,1331.0,1422.0,2461.0,3578.0,959.0,2381.0,1777.0,579.0,761.0,2793.0,747.0,248.0,80.05,91.09,82.51,72.0,74.0,64.0,5104.22,3788.0,3746.94,503.0,40.94,37.63,45.06,249.52,247.53,238.33,2515.46,240.28,171.34,548.07,79.97,1387.77,1052.58,229.66,242.74,232.05,2441.0,1039.0,1218.0,4698.0,263.0,132.0,50.0,476.0,79.0,1169.0,1361.0,2178.0,3217.0,1023.0,2303.0,1856.0,665.0,876.0,2535.0,723.0,222.0,72.76,85.5,82.03,91.0,82.0,90.0,4777.46,3480.0,3529.37,602.0,38.31,34.21,36.94,241.65,244.45,237.21,0
0.49,0.47,0.47,300958.0,2363.09,225.44,158.01,528.59,75.52,1280.77,998.29,217.17,225.7,217.43,2346.0,958.0,1185.0,4489.0,210.0,187.0,37.0,489.0,67.0,1008.0,1343.0,2136.0,3094.0,900.0,2285.0,1542.0,562.0,910.0,2461.0,616.0,227.0,70.82,73.05,81.57,64.0,66.0,80.0,4476.9,3304.0,3299.9,743.0,35.17,43.88,44.31,213.69,213.78,208.72,2595.68,237.62,176.25,586.1,82.5,1430.49,1101.32,227.82,237.88,228.1,2634.0,1027.0,1344.0,5005.0,218.0,175.0,53.0,607.0,72.0,1150.0,1439.0,2416.0,3443.0,840.0,2312.0,1726.0,518.0,894.0,2774.0,657.0,230.0,78.82,79.46,79.34,67.0,73.0,78.0,5029.96,3661.0,3671.76,672.0,39.36,42.28,43.72,230.19,230.43,225.47,1
0.49,0.45,0.46,299716.0,2202.29,219.46,155.02,492.45,71.97,1209.62,904.49,209.75,220.44,210.71,2288.0,765.0,941.0,3994.0,237.0,208.0,65.0,501.0,74.0,814.0,1219.0,2051.0,2816.0,991.0,2165.0,1568.0,684.0,646.0,2266.0,564.0,223.0,66.25,69.26,83.95,72.0,75.0,90.0,4016.31,3053.0,3066.32,333.0,34.64,50.56,52.58,201.51,202.59,198.34,2582.01,231.07,176.97,582.49,84.84,1442.34,1101.28,222.04,230.34,221.32,2629.0,990.0,1226.0,4845.0,228.0,202.0,47.0,576.0,85.0,1102.0,1426.0,2401.0,3391.0,1039.0,2370.0,1622.0,593.0,606.0,2797.0,607.0,215.0,79.58,73.95,77.54,73.0,70.0,85.0,4809.32,3619.0,3600.4,280.0,39.18,44.74,46.04,224.21,223.24,217.5,1
0.5,0.49,0.49,301078.0,2503.41,229.75,173.18,549.04,80.85,1421.34,1064.84,221.06,229.05,220.37,2524.0,995.0,1079.0,4598.0,230.0,154.0,36.0,568.0,72.0,1155.0,1340.0,2294.0,3289.0,923.0,2210.0,2338.0,624.0,728.0,2633.0,690.0,196.0,77.9,83.19,68.66,66.0,88.0,76.0,4574.89,3519.0,3502.86,359.0,39.11,31.77,32.58,236.28,235.48,229.15,2602.57,226.52,177.01,579.29,83.13,1452.95,1102.11,217.97,228.06,219.44,2560.0,1061.0,1150.0,4771.0,244.0,164.0,37.0,534.0,70.0,1214.0,1396.0,2316.0,3377.0,966.0,2382.0,2267.0,540.0,697.0,2805.0,621.0,195.0,82.35,74.2,69.96,72.0,90.0,82.0,4798.01,3621.0,3640.34,359.0,39.0,38.5,40.27,225.26,226.37,221.83,0
0.52,0.53,0.52,300518.0,2706.42,262.95,192.05,587.86,86.07,1490.41,1145.74,253.12,265.52,255.64,2693.0,1073.0,1432.0,5198.0,313.0,184.0,55.0,590.0,81.0,1220.0,1378.0,2380.0,3453.0,850.0,2538.0,1731.0,658.0,760.0,2732.0,795.0,239.0,85.67,93.62,83.65,90.0,117.0,106.0,5281.58,3766.0,3820.4,478.0,43.08,43.78,44.56,261.39,263.61,257.1,2526.09,238.31,178.75,557.11,82.38,1405.8,1054.65,229.33,236.77,227.87,2535.0,982.0,1153.0,4670.0,227.0,176.0,38.0,579.0,71.0,1143.0,1321.0,2308.0,3290.0,842.0,2389.0,1783.0,651.0,762.0,2567.0,726.0,224.0,78.23,86.09,73.98,84.0,67.0,76.0,4604.97,3517.0,3474.02,500.0,39.89,37.89,38.8,239.39,238.07,232.84,1
0.45,0.48,0.47,299280.0,2349.29,208.45,160.14,520.5,74.6,1286.92,1000.38,201.56,207.97,201.12,2410.0,841.0,1098.0,4349.0,230.0,162.0,31.0,455.0,58.0,1050.0,1296.0,2180.0,3021.0,1005.0,2449.0,1469.0,820.0,676.0,2461.0,595.0,195.0,72.85,70.32,65.28,81.0,84.0,65.0,4312.33,3251.0,3230.68,369.0,35.5,34.3,34.68,209.27,208.67,204.62,2596.78,256.61,182.34,571.8,83.05,1438.59,1070.62,245.74,258.0,247.11,2717.0,886.0,1069.0,4672.0,250.0,207.0,45.0,585.0,72.0,1182.0,1307.0,2467.0,3353.0,988.0,2368.0,1377.0,716.0,530.0,2609.0,742.0,252.0,77.29,89.95,89.36,68.0,93.0,89.0,4713.98,3603.0,3626.11,285.0,40.88,46.97,48.43,249.06,250.31,243.16,0
0.54,0.55,0.54,300907.0,2684.83,240.66,180.34,595.7,89.3,1528.2,1147.18,231.82,241.44,232.57,2737.0,1093.0,1185.0,5015.0,223.0,118.0,28.0,666.0,124.0,1308.0,1391.0,2514.0,3607.0,691.0,2340.0,1972.0,580.0,805.0,2914.0,740.0,176.0,90.19,88.74,61.73,74.0,80.0,69.0,5026.18,3830.0,3837.26,391.0,39.87,25.35,31.35,245.91,246.49,240.5,2302.99,204.58,151.52,514.1,74.92,1276.91,982.04,197.96,205.15,198.53,2413.0,835.0,914.0,4162.0,207.0,120.0,44.0,559.0,90.0,1064.0,1208.0,2206.0,3041.0,777.0,2240.0,2127.0,587.0,809.0,2461.0,622.0,165.0,72.66,73.69,58.22,71.0,62.0,74.0,4173.87,3248.0,3255.4,428.0,33.21,27.93,30.8,204.05,204.61,200.09,1
0.49,0.48,0.48,300120.0,2338.81,235.48,167.17,507.48,74.23,1310.03,963.67,225.31,234.6,224.47,2367.0,892.0,978.0,4237.0,213.0,138.0,41.0,489.0,65.0,1026.0,1328.0,2154.0,3046.0,1197.0,2442.0,1650.0,510.0,639.0,2331.0,713.0,215.0,71.33,84.11,80.04,59.0,85.0,69.0,4209.47,3259.0,3249.32,330.0,37.6,34.38,36.43,236.6,235.73,228.02,2520.28,248.19,178.77,550.36,80.92,1395.24,1060.53,236.13,249.86,237.76,2575.0,939.0,1108.0,4622.0,253.0,188.0,57.0,564.0,80.0,1110.0,1319.0,2322.0,3261.0,1176.0,2296.0,1558.0,535.0,635.0,2589.0,677.0,248.0,79.65,81.15,87.4,62.0,88.0,103.0,4666.78,3514.0,3536.91,311.0,40.38,43.9,45.86,242.71,244.36,236.96,0
