xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoff
0.51,0.52,0.52,297939.0,2549.88,255.02,177.54,592.67,85.77,1418.96,1029.03,245.31,256.81,247.06,2498.0,1061.0,1188.0,4747.0,289.0,210.0,34.0,493.0,89.0,1137.0,1341.0,2209.0,3270.0,632.0,2046.0,1802.0,787.0,557.0,2601.0,704.0,254.0,76.04,87.93,91.05,104.0,104.0,81.0,4791.58,3559.0,3590.43,280.0,38.99,42.66,42.66,251.35,253.13,246.55,2330.29,242.75,167.32,535.54,78.0,1285.59,916.79,231.19,243.19,231.58,2217.0,1009.0,1127.0,4353.0,252.0,211.0,40.0,424.0,73.0,1099.0,1167.0,1965.0,2974.0,658.0,2469.0,1802.0,652.0,638.0,2259.0,708.0,259.0,65.76,88.65,88.34,65.0,96.0,91.0,4342.48,3226.0,3221.51,323.0,37.22,44.07,44.15,235.82,236.19,229.92,1
0.51,0.51,0.52,299400.0,2623.68,257.31,186.48,594.6,86.64,1461.85,1045.14,247.06,259.6,249.25,2583.0,1049.0,1180.0,4812.0,273.0,214.0,22.0,405.0,62.0,1397.0,1281.0,2310.0,3359.0,605.0,2183.0,1978.0,679.0,866.0,2636.0,760.0,236.0,80.12,91.99,85.21,93.0,101.0,79.0,4868.38,3632.0,3665.83,429.0,41.6,39.9,39.9,259.01,261.22,254.41,2450.4,247.07,169.63,568.17,80.85,1319.45,961.9,234.0,246.24,233.36,2405.0,943.0,1205.0,4553.0,216.0,224.0,34.0,350.0,42.0,1223.0,1294.0,2189.0,3132.0,663.0,2266.0,1740.0,585.0,809.0,2371.0,712.0,265.0,69.19,88.58,89.3,75.0,73.0,68.0,4523.0,3348.0,3336.8,394.0,37.44,51.22,51.6,232.91,232.31,226.2,1
0.48,0.48,0.48,299084.0,2458.62,260.84,179.73,563.73,81.86,1344.47,953.37,247.28,260.13,246.58,2418.0,966.0,1223.0,4607.0,233.0,250.0,45.0,534.0,68.0,1035.0,1264.0,2185.0,3151.0,627.0,2479.0,1871.0,748.0,687.0,2363.0,727.0,294.0,73.98,91.13,95.72,75.0,79.0,79.0,4562.84,3384.0,3359.33,317.0,39.78,54.42,54.48,246.13,244.98,236.79,2673.49,280.14,192.51,604.94,89.17,1476.26,1060.98,267.4,283.26,270.38,2640.0,1064.0,1308.0,5012.0,315.0,255.0,44.0,650.0,88.0,1136.0,1261.0,2325.0,3389.0,559.0,2383.0,1725.0,755.0,705.0,2614.0,793.0,297.0,81.73,96.85,101.55,106.0,121.0,88.0,5080.1,3704.0,3749.61,347.0,42.47,56.57,56.62,265.99,268.9,262.11,0
0.58,0.6,0.59,299432.0,3026.48,298.51,214.38,744.55,103.59,1675.11,1188.85,282.66,301.69,285.71,2852.0,1373.0,1381.0,5606.0,262.0,360.0,45.0,632.0,97.0,1549.0,1325.0,2590.0,3963.0,582.0,2618.0,1351.0,738.0,715.0,3079.0,812.0,334.0,88.1,99.34,111.08,100.0,84.0,78.0,5707.61,4225.0,4287.03,309.0,47.59,69.01,69.02,277.09,280.12,270.89,2132.15,213.37,151.95,484.86,70.03,1152.92,849.87,202.44,212.02,201.17,2133.0,790.0,834.0,3757.0,210.0,201.0,21.0,398.0,59.0,919.0,1136.0,1923.0,2713.0,559.0,2335.0,1847.0,592.0,782.0,2064.0,643.0,216.0,58.39,78.42,76.57,76.0,83.0,51.0,3705.35,2923.0,2891.85,439.0,34.03,43.57,43.6,203.81,202.68,197.84,1
0.51,0.5,0.51,301108.0,2614.25,258.75,181.28,591.9,85.41,1428.64,1061.03,246.01,260.21,247.45,2535.0,1072.0,1187.0,4794.0,239.0,245.0,35.0,533.0,74.0,1159.0,1357.0,2296.0,3368.0,781.0,2181.0,1784.0,541.0,533.0,2572.0,775.0,260.0,73.51,94.96,90.27,60.0,98.0,81.0,4829.45,3607.0,3632.57,269.0,40.65,49.9,49.9,249.5,250.89,242.84,2532.86,248.36,173.68,585.17,84.28,1401.06,1008.46,235.35,247.3,234.4,2552.0,949.0,1318.0,4819.0,219.0,225.0,27.0,480.0,98.0,1128.0,1351.0,2333.0,3282.0,790.0,2393.0,1638.0,475.0,590.0,2535.0,720.0,246.0,74.37,86.14,87.86,69.0,84.0,66.0,4792.63,3501.0,3488.72,327.0,38.38,47.43,47.53,239.21,238.53,231.07,1
0.44,0.46,0.45,298020.0,2463.37,236.17,172.04,561.72,81.47,1344.94,979.66,225.01,234.37,223.34,2400.0,976.0,1168.0,4544.0,213.0,220.0,28.0,541.0,80.0,1089.0,1233.0,2187.0,3163.0,604.0,2332.0,1880.0,535.0,559.0,2440.0,704.0,232.0,72.01,85.27,78.89,74.0,83.0,56.0,4466.68,3376.0,3330.58,279.0,38.12,46.84,46.9,227.39,225.56,219.36,2965.65,297.98,210.46,678.91,97.75,1633.43,1160.46,284.77,302.51,289.16,2906.0,1173.0,1343.0,5422.0,329.0,288.0,50.0,679.0,93.0,1318.0,1372.0,2577.0,3750.0,572.0,2463.0,1436.0,570.0,566.0,2902.0,865.0,312.0,85.57,106.93,105.48,113.0,117.0,99.0,5568.56,4079.0,4166.29,262.0,46.41,62.14,62.14,282.25,286.42,278.93,0
0.46,0.47,0.48,298379.0,2425.2,231.81,168.16,565.83,80.4,1328.4,974.41,222.82,231.04,222.09,2416.0,933.0,1114.0,4463.0,220.0,212.0,29.0,543.0,88.0,1004.0,1282.0,2196.0,3129.0,721.0,2095.0,2223.0,514.0,602.0,2454.0,641.0,254.0,69.15,78.59,84.07,78.0,68.0,74.0,4423.58,3349.0,3326.82,407.0,36.67,43.77,43.86,224.62,223.66,218.94,2659.11,272.13,187.68,610.95,87.08,1453.1,1054.06,260.49,274.14,262.38,2586.0,1079.0,1411.0,5076.0,276.0,235.0,28.0,557.0,83.0,1215.0,1299.0,2310.0,3389.0,708.0,2486.0,1864.0,557.0,722.0,2588.0,801.0,276.0,77.52,99.26,95.35,81.0,110.0,85.0,5135.86,3665.0,3700.9,440.0,41.58,49.96,49.96,263.75,265.71,259.35,0
0.42,0.43,0.43,299509.0,2151.24,223.54,152.25,486.02,69.85,1182.09,849.24,212.72,221.59,210.84,2121.0,842.0,991.0,3954.0,225.0,194.0,27.0,415.0,48.0,984.0,1097.0,1896.0,2738.0,818.0,2127.0,2095.0,487.0,792.0,2084.0,641.0,238.0,63.78,78.39,81.36,70.0,78.0,77.0,3885.41,2963.0,2927.16,436.0,33.55,40.14,40.14,216.95,215.06,208.19,2899.68,313.28,210.17,661.22,95.39,1598.78,1124.17,296.24,316.69,299.48,2875.0,1128.0,1226.0,5229.0,295.0,269.0,44.0,589.0,90.0,1409.0,1351.0,2580.0,3708.0,682.0,2508.0,1843.0,539.0,650.0,2788.0,897.0,318.0,85.76,111.94,115.58,95.0,105.0,95.0,5325.48,4003.0,4059.09,293.0,47.59,55.7,55.75,305.12,308.29,297.08,0
0.53,0.52,0.53,299360.0,2657.44,268.81,183.07,610.42,87.52,1460.19,1058.06,256.08,269.44,256.71,2659.0,1010.0,1201.0,4870.0,274.0,218.0,32.0,587.0,87.0,1229.0,1274.0,2385.0,3395.0,669.0,2438.0,1742.0,415.0,623.0,2581.0,811.0,277.0,74.9,99.06,94.86,80.0,108.0,86.0,4899.31,3669.0,3693.28,436.0,40.48,47.92,47.98,261.25,261.82,253.85,2371.7,236.29,166.46,535.59,77.53,1312.21,942.92,225.81,236.32,225.88,2289.0,982.0,1308.0,4579.0,254.0,204.0,30.0,526.0,76.0,1076.0,1135.0,2035.0,3017.0,660.0,2134.0,2266.0,487.0,556.0,2331.0,707.0,233.0,68.43,86.48,81.39,94.0,84.0,76.0,4569.8,3271.0,3266.72,367.0,36.95,45.5,45.5,227.73,228.14,222.25,1
0.52,0.51,0.51,297966.0,2670.35,293.47,193.12,596.67,88.84,1476.34,1051.55,278.17,294.37,279.06,2621.0,1079.0,1214.0,4914.0,280.0,250.0,41.0,580.0,97.0,1247.0,1246.0,2341.0,3420.0,801.0,2364.0,2026.0,767.0,780.0,2497.0,905.0,298.0,76.9,109.99,106.58,71.0,107.0,102.0,4950.34,3700.0,3717.42,369.0,43.14,55.49,55.49,281.12,281.84,273.27,2538.17,270.89,182.89,578.68,84.55,1395.13,995.84,257.97,271.33,258.39,2582.0,926.0,1148.0,4656.0,252.0,240.0,28.0,531.0,86.0,1082.0,1317.0,2330.0,3256.0,848.0,2216.0,2248.0,840.0,574.0,2441.0,781.0,286.0,72.73,96.93,101.24,78.0,87.0,87.0,4651.87,3508.0,3510.54,264.0,40.64,51.97,52.4,259.13,259.75,253.35,1
0.48,0.47,0.48,298995.0,2312.56,228.63,158.26,539.95,76.27,1278.73,921.17,218.04,228.29,217.8,2312.0,891.0,1086.0,4289.0,237.0,206.0,26.0,484.0,60.0,1023.0,1193.0,2075.0,2966.0,608.0,2229.0,1812.0,472.0,580.0,2377.0,585.0,241.0,68.46,70.59,89.59,91.0,70.0,76.0,4256.52,3203.0,3186.62,321.0,35.35,48.32,48.39,215.59,215.44,210.61,2528.66,247.34,176.7,591.45,86.08,1412.89,1015.54,233.57,248.31,234.53,2496.0,1034.0,1282.0,4812.0,275.0,231.0,45.0,516.0,58.0,1209.0,1241.0,2221.0,3255.0,640.0,2308.0,1588.0,429.0,673.0,2615.0,652.0,263.0,78.1,79.43,89.81,112.0,84.0,79.0,4851.82,3530.0,3553.47,350.0,39.31,44.55,44.79,241.85,242.55,232.42,0
0.52,0.53,0.52,299806.0,2623.87,263.4,186.31,594.44,86.79,1491.13,1051.93,253.74,267.06,257.28,2729.0,945.0,1330.0,5004.0,274.0,208.0,32.0,600.0,95.0,1168.0,1329.0,2455.0,3400.0,629.0,2256.0,1613.0,607.0,541.0,2688.0,726.0,260.0,82.19,88.33,92.88,90.0,94.0,90.0,5092.69,3674.0,3727.88,250.0,41.42,49.05,49.05,255.77,259.02,252.81,2461.75,245.83,175.22,562.91,81.99,1363.59,981.47,232.56,244.5,231.33,2540.0,871.0,1114.0,4525.0,223.0,245.0,31.0,606.0,77.0,1038.0,1222.0,2317.0,3188.0,653.0,2574.0,1879.0,592.0,516.0,2483.0,665.0,263.0,72.22,82.8,90.81,78.0,77.0,68.0,4469.39,3411.0,3377.72,268.0,38.82,54.03,54.07,230.58,229.29,223.27,1
0.53,0.49,0.5,299852.0,2558.24,265.92,182.4,589.73,84.93,1393.35,1006.74,254.09,269.26,257.29,2587.0,937.0,1262.0,4786.0,267.0,242.0,45.0,526.0,85.0,1107.0,1297.0,2320.0,3257.0,523.0,2445.0,1930.0,718.0,575.0,2489.0,739.0,296.0,72.5,92.94,100.49,79.0,95.0,93.0,4860.86,3524.0,3569.58,278.0,40.19,52.33,52.42,253.63,256.64,250.64,2573.42,237.71,176.48,606.83,85.31,1425.68,1030.99,228.44,236.23,227.02,2534.0,1029.0,1493.0,5056.0,225.0,230.0,32.0,579.0,91.0,1179.0,1259.0,2309.0,3338.0,544.0,2234.0,2334.0,678.0,694.0,2676.0,646.0,241.0,76.24,78.44,83.02,72.0,83.0,70.0,5007.25,3563.0,3542.41,318.0,38.6,45.83,46.38,229.93,228.71,223.72,1
0.44,0.46,0.46,298168.0,2322.15,220.89,161.11,524.93,74.12,1285.35,933.6,214.51,221.24,214.86,2341.0,859.0,996.0,4196.0,260.0,165.0,27.0,454.0,78.0,1033.0,1210.0,2081.0,2940.0,559.0,2150.0,1814.0,684.0,623.0,2322.0,678.0,200.0,69.45,82.2,69.25,95.0,92.0,73.0,4174.77,3200.0,3192.76,365.0,35.2,34.76,34.77,221.32,221.73,218.19,2696.93,281.49,190.41,618.67,88.89,1472.66,1068.87,268.75,282.76,270.04,2653.0,1068.0,1173.0,4894.0,298.0,262.0,47.0,530.0,67.0,1213.0,1351.0,2355.0,3423.0,606.0,2284.0,1513.0,849.0,627.0,2625.0,812.0,284.0,79.72,99.45,102.3,89.0,109.0,100.0,4931.26,3721.0,3740.68,352.0,41.9,54.67,54.67,268.71,269.96,262.77,0
0.48,0.49,0.49,299507.0,2422.93,245.86,177.5,553.08,81.27,1375.8,953.49,234.87,245.31,234.35,2438.0,949.0,1127.0,4514.0,270.0,230.0,38.0,508.0,95.0,1055.0,1229.0,2168.0,3117.0,680.0,2273.0,2024.0,519.0,562.0,2446.0,680.0,261.0,71.34,82.43,92.08,77.0,102.0,91.0,4490.54,3387.0,3369.46,315.0,39.87,50.11,50.29,235.43,234.89,228.53,2537.51,262.51,181.73,583.29,84.68,1393.89,1010.91,249.65,264.33,251.45,2527.0,990.0,1139.0,4656.0,296.0,253.0,40.0,506.0,93.0,1152.0,1217.0,2231.0,3221.0,728.0,2320.0,1649.0,489.0,619.0,2499.0,733.0,285.0,75.23,90.35,96.93,106.0,92.0,98.0,4708.26,3517.0,3554.99,354.0,40.28,54.29,54.36,248.44,250.41,243.39,0
0.52,0.51,0.51,297097.0,2599.2,267.67,183.72,591.88,86.6,1461.75,1034.37,254.07,267.78,254.23,2486.0,1140.0,1211.0,4837.0,246.0,225.0,43.0,497.0,67.0,1298.0,1293.0,2240.0,3380.0,669.0,2184.0,1789.0,611.0,707.0,2585.0,757.0,284.0,77.42,92.25,98.0,91.0,81.0,74.0,4844.91,3626.0,3632.03,489.0,40.83,47.51,47.62,260.89,261.32,252.93,2485.45,251.2,173.32,575.09,82.07,1368.17,994.14,239.41,251.41,239.69,2487.0,957.0,1113.0,4557.0,224.0,215.0,34.0,478.0,58.0,1164.0,1305.0,2263.0,3220.0,707.0,2279.0,1746.0,565.0,773.0,2457.0,731.0,256.0,71.72,91.36,88.13,69.0,77.0,78.0,4547.1,3444.0,3442.71,560.0,38.4,46.9,46.9,242.7,242.87,235.74,1
0.52,0.51,0.52,298478.0,2719.29,267.6,184.93,657.11,92.09,1503.48,1078.8,254.2,268.54,255.12,2582.0,1202.0,1382.0,5166.0,278.0,255.0,41.0,492.0,16.0,1404.0,1339.0,2304.0,3506.0,639.0,2380.0,1981.0,563.0,588.0,2845.0,647.0,292.0,82.38,78.91,106.3,102.0,90.0,86.0,5181.96,3784.0,3797.81,316.0,41.33,51.89,51.99,256.94,257.75,248.7,2568.98,249.94,172.62,633.54,87.81,1377.13,1009.94,237.65,249.47,237.23,2419.0,1112.0,1372.0,4903.0,226.0,293.0,28.0,412.0,17.0,1243.0,1340.0,2193.0,3305.0,668.0,2174.0,1683.0,485.0,551.0,2632.0,620.0,279.0,74.27,77.71,97.96,75.0,87.0,64.0,4872.69,3531.0,3515.76,285.0,38.29,57.55,57.62,230.61,230.43,224.52,1
0.51,0.51,0.51,297761.0,2559.93,269.37,177.28,600.43,85.39,1383.75,1000.77,254.7,270.02,255.34,2402.0,1115.0,1428.0,4945.0,288.0,246.0,40.0,478.0,8.0,1241.0,1256.0,2114.0,3229.0,703.0,2331.0,1982.0,528.0,607.0,2517.0,702.0,298.0,73.8,87.81,107.76,90.0,108.0,90.0,4969.52,3517.0,3529.91,294.0,39.84,54.9,54.93,254.29,254.83,247.55,2474.16,260.06,170.12,590.31,83.81,1329.85,967.84,246.24,260.79,246.87,2430.0,972.0,1360.0,4762.0,267.0,272.0,29.0,441.0,14.0,1170.0,1238.0,2163.0,3135.0,720.0,2173.0,2053.0,602.0,531.0,2468.0,626.0,308.0,72.91,77.61,109.53,103.0,89.0,75.0,4757.9,3402.0,3408.26,279.0,37.92,58.02,58.02,239.96,240.42,232.65,1
0.51,0.51,0.52,298497.0,2744.85,251.67,180.59,674.82,93.54,1472.6,1086.85,239.76,251.57,239.71,2602.0,1159.0,1427.0,5188.0,250.0,298.0,29.0,518.0,13.0,1361.0,1321.0,2352.0,3511.0,711.0,2376.0,1994.0,597.0,797.0,2855.0,615.0,291.0,76.17,77.04,98.46,89.0,98.0,63.0,5159.11,3761.0,3744.29,467.0,40.67,59.43,60.4,231.86,231.8,226.36,2508.59,246.55,165.98,615.15,84.64,1326.52,992.21,232.57,247.9,233.92,2432.0,1000.0,1460.0,4892.0,281.0,288.0,35.0,487.0,11.0,1163.0,1202.0,2151.0,3151.0,782.0,2284.0,2062.0,585.0,711.0,2546.0,583.0,303.0,71.82,72.59,102.15,110.0,94.0,77.0,4945.68,3432.0,3460.55,413.0,36.97,59.66,59.78,223.73,225.15,218.08,0
0.43,0.45,0.44,296998.0,2214.66,206.24,148.88,543.56,74.36,1198.17,874.78,196.95,204.17,194.95,2153.0,893.0,1210.0,4256.0,178.0,237.0,29.0,468.0,7.0,1014.0,1142.0,1975.0,2868.0,641.0,2029.0,1871.0,714.0,747.0,2319.0,495.0,232.0,63.48,61.72,81.04,60.0,57.0,61.0,4156.75,3046.0,2992.27,424.0,33.19,51.15,51.2,188.24,186.26,182.12,2752.86,274.4,188.63,655.49,92.72,1505.07,1093.69,262.29,278.54,266.24,2683.0,1127.0,1455.0,5265.0,289.0,273.0,35.0,482.0,15.0,1328.0,1423.0,2394.0,3521.0,644.0,2357.0,1542.0,546.0,618.0,2796.0,717.0,297.0,83.07,88.86,102.48,108.0,108.0,73.0,5412.09,3810.0,3893.33,303.0,41.47,59.38,59.38,256.5,260.32,253.23,0
0.51,0.51,0.5,299637.0,2510.3,231.6,168.8,618.09,84.94,1386.71,995.86,221.57,233.04,222.98,2348.0,1138.0,1553.0,5039.0,214.0,233.0,24.0,486.0,9.0,1262.0,1282.0,2134.0,3272.0,597.0,2153.0,1828.0,686.0,420.0,2659.0,575.0,252.0,75.54,71.18,84.88,96.0,58.0,60.0,5052.65,3486.0,3495.44,191.0,37.26,47.9,47.9,220.96,222.14,216.08,2534.42,224.66,170.14,624.84,86.86,1416.11,1020.38,215.03,225.41,215.81,2391.0,1152.0,1301.0,4844.0,232.0,255.0,31.0,568.0,11.0,1204.0,1273.0,2159.0,3311.0,614.0,2378.0,1768.0,717.0,541.0,2727.0,577.0,239.0,73.91,70.29,80.45,83.0,78.0,71.0,4857.33,3543.0,3558.32,257.0,37.75,49.03,49.03,213.38,214.28,208.54,0
0.52,0.52,0.52,297142.0,2753.53,273.29,193.0,668.22,94.12,1487.53,1066.84,260.11,275.79,262.45,2642.0,1141.0,1424.0,5207.0,266.0,287.0,41.0,546.0,10.0,1346.0,1328.0,2376.0,3517.0,706.0,2349.0,2149.0,651.0,762.0,2769.0,701.0,313.0,78.52,87.84,106.93,89.0,76.0,101.0,5261.56,3783.0,3821.94,421.0,43.13,61.18,61.23,255.18,257.17,250.86,2539.52,250.29,170.93,615.33,87.56,1348.45,998.44,238.57,250.82,239.08,2507.0,964.0,1342.0,4813.0,248.0,271.0,27.0,483.0,10.0,1219.0,1240.0,2259.0,3223.0,727.0,2316.0,1962.0,592.0,820.0,2549.0,630.0,292.0,71.15,78.91,100.24,85.0,81.0,82.0,4804.68,3471.0,3464.73,473.0,38.03,55.61,55.7,232.63,233.27,227.39,1
0.45,0.48,0.47,298718.0,2592.56,237.61,174.27,634.04,89.3,1410.33,1032.44,225.45,237.57,225.5,2458.0,1120.0,1474.0,5052.0,234.0,286.0,26.0,554.0,13.0,1250.0,1241.0,2224.0,3344.0,616.0,2184.0,1577.0,517.0,463.0,2711.0,606.0,261.0,77.7,74.86,85.04,87.0,86.0,61.0,5040.21,3578.0,3575.16,255.0,38.56,52.28,52.28,223.88,224.15,217.31,2897.53,289.47,200.41,691.46,99.0,1581.01,1130.66,273.13,290.7,274.33,2822.0,1170.0,1523.0,5515.0,298.0,320.0,35.0,541.0,9.0,1428.0,1396.0,2524.0,3694.0,574.0,2441.0,1388.0,506.0,499.0,2932.0,727.0,333.0,86.23,90.13,113.11,115.0,104.0,79.0,5548.24,3992.0,4012.01,250.0,44.5,67.49,67.54,266.42,267.66,258.35,0
0.52,0.51,0.51,297885.0,2512.36,259.89,179.21,603.77,85.4,1374.69,974.03,248.62,262.62,251.28,2328.0,1149.0,1360.0,4837.0,279.0,272.0,43.0,475.0,11.0,1191.0,1249.0,2049.0,3198.0,656.0,2336.0,2176.0,499.0,492.0,2533.0,620.0,324.0,72.72,77.35,109.83,104.0,84.0,91.0,4928.7,3477.0,3535.84,320.0,39.99,57.97,57.97,241.92,244.83,239.0,2442.16,241.63,168.2,590.31,83.84,1318.85,953.18,228.4,240.15,226.98,2344.0,1012.0,1250.0,4606.0,221.0,278.0,28.0,463.0,7.0,1205.0,1182.0,2123.0,3135.0,663.0,2145.0,1883.0,389.0,535.0,2473.0,587.0,296.0,67.45,74.02,100.16,78.0,70.0,73.0,4532.96,3356.0,3316.56,286.0,37.97,60.85,60.95,218.65,217.19,210.56,1
0.52,0.5,0.51,299052.0,2624.6,258.04,184.87,612.07,87.5,1435.56,1024.95,242.66,258.51,243.08,2472.0,1131.0,1401.0,5004.0,248.0,250.0,24.0,500.0,13.0,1315.0,1277.0,2224.0,3355.0,776.0,2192.0,1598.0,497.0,526.0,2653.0,675.0,275.0,73.97,84.01,100.04,73.0,100.0,75.0,5008.08,3603.0,3610.73,244.0,42.12,53.05,53.05,247.11,247.29,237.64,2545.12,238.66,175.8,602.98,84.29,1410.27,1001.0,229.22,239.94,230.5,2437.0,1076.0,1421.0,4934.0,260.0,189.0,21.0,499.0,18.0,1233.0,1314.0,2177.0,3253.0,780.0,2441.0,1606.0,478.0,518.0,2667.0,595.0,251.0,76.44,74.11,88.11,105.0,76.0,79.0,4962.9,3513.0,3533.73,278.0,39.33,40.88,40.88,237.12,238.48,232.36,0
0.48,0.47,0.48,298986.0,2576.93,239.91,172.22,635.42,88.31,1377.44,1011.69,228.26,241.24,229.55,2470.0,1055.0,1296.0,4821.0,245.0,283.0,34.0,464.0,9.0,1205.0,1319.0,2225.0,3280.0,536.0,2391.0,2062.0,527.0,699.0,2638.0,599.0,288.0,69.03,74.95,95.94,102.0,83.0,60.0,4846.92,3525.0,3545.77,334.0,38.08,60.69,60.73,217.26,218.44,213.05,2795.94,264.71,186.24,685.58,94.34,1506.99,1109.13,251.73,264.01,251.06,2687.0,1160.0,1673.0,5520.0,258.0,296.0,31.0,482.0,5.0,1424.0,1382.0,2429.0,3589.0,556.0,2273.0,1692.0,542.0,691.0,2936.0,600.0,311.0,78.99,74.78,110.94,91.0,79.0,88.0,5499.95,3847.0,3831.74,353.0,41.3,60.65,61.05,244.96,244.38,237.49,1
0.53,0.52,0.51,298289.0,2795.76,286.1,193.62,679.94,96.21,1497.05,1089.15,269.06,286.83,269.83,2685.0,1158.0,1518.0,5361.0,253.0,317.0,30.0,481.0,12.0,1384.0,1396.0,2432.0,3590.0,567.0,2621.0,1631.0,706.0,672.0,2789.0,709.0,345.0,79.07,88.26,118.77,106.0,72.0,75.0,5376.86,3843.0,3855.26,306.0,43.33,63.4,63.47,265.96,267.01,257.41,2695.8,255.97,181.23,649.92,90.76,1448.69,1075.43,244.48,256.91,245.42,2480.0,1222.0,1341.0,5043.0,248.0,268.0,39.0,495.0,14.0,1310.0,1367.0,2232.0,3454.0,594.0,2176.0,1749.0,611.0,595.0,2783.0,644.0,275.0,80.76,80.82,94.39,79.0,92.0,77.0,5043.3,3702.0,3704.82,308.0,40.02,53.85,53.9,242.09,243.07,236.01,0
0.52,0.53,0.52,298164.0,2784.9,291.01,192.55,656.53,91.61,1503.33,1090.97,275.23,292.15,276.4,2707.0,1119.0,1506.0,5332.0,302.0,243.0,33.0,557.0,7.0,1371.0,1346.0,2405.0,3524.0,615.0,2297.0,1672.0,647.0,603.0,2713.0,809.0,304.0,80.44,99.63,110.93,107.0,111.0,84.0,5380.23,3826.0,3851.91,295.0,42.97,57.05,57.05,276.93,278.13,269.6,2586.85,270.27,180.08,614.75,85.96,1361.47,989.55,252.85,270.42,252.85,2446.0,1057.0,1309.0,4812.0,252.0,286.0,35.0,476.0,12.0,1192.0,1285.0,2194.0,3251.0,661.0,2494.0,1629.0,632.0,493.0,2528.0,642.0,333.0,70.42,80.82,119.03,78.0,85.0,89.0,4792.03,3503.0,3495.63,269.0,40.46,65.65,65.65,245.01,244.83,237.3,1
0.5,0.5,0.51,297069.0,2579.34,247.1,173.13,622.72,87.03,1410.7,1052.33,237.75,249.19,239.8,2489.0,1104.0,1310.0,4903.0,259.0,257.0,37.0,555.0,9.0,1181.0,1332.0,2230.0,3334.0,611.0,2169.0,1851.0,524.0,555.0,2702.0,636.0,255.0,73.52,80.33,93.25,88.0,88.0,83.0,4955.66,3593.0,3633.65,404.0,38.04,53.04,53.09,232.07,234.18,228.84,2541.16,242.81,172.9,628.64,86.54,1382.71,996.4,229.07,242.19,228.53,2429.0,1081.0,1336.0,4846.0,198.0,290.0,29.0,494.0,3.0,1241.0,1284.0,2231.0,3312.0,648.0,2389.0,1926.0,459.0,685.0,2630.0,595.0,285.0,71.01,74.61,97.2,64.0,57.0,77.0,4803.4,3510.0,3483.66,498.0,38.67,62.75,62.75,218.73,218.08,211.7,1
