team,season,corsiPercentage,fenwickPercentage,xGoalsPercentage,xOnGoalFor_PerGame,xGoalsFor_PerGame,xReboundsFor_PerGame,xFreezeFor_PerGame,xPlayStoppedFor_PerGame,xPlayContinuedInZoneFor_PerGame,xPlayContinuedOutsideZoneFor_PerGame,flurryAdjustedxGoalsFor_PerGame,scoreVenueAdjustedxGoalsFor_PerGame,flurryScoreVenueAdjustedxGoalsFor_PerGame,shotsOnGoalFor_PerGame,missedShotsFor_PerGame,blockedShotAttemptsFor_PerGame,shotAttemptsFor_PerGame,goalsFor_PerGame,reboundsFor_PerGame,reboundGoalsFor_PerGame,freezeFor_PerGame,playStoppedFor_PerGame,playContinuedInZoneFor_PerGame,playContinuedOutsideZoneFor_PerGame,savedShotsOnGoalFor_PerGame,savedUnblockedShotAttemptsFor_PerGame,penalityMinutesFor_PerGame,faceOffsWonFor_PerGame,hitsFor_PerGame,takeawaysFor_PerGame,giveawaysFor_PerGame,lowDangerShotsFor_PerGame,mediumDangerShotsFor_PerGame,highDangerShotsFor_PerGame,lowDangerxGoalsFor_PerGame,mediumDangerxGoalsFor_PerGame,highDangerxGoalsFor_PerGame,lowDangerGoalsFor_PerGame,mediumDangerGoalsFor_PerGame,highDangerGoalsFor_PerGame,scoreAdjustedShotsAttemptsFor_PerGame,unblockedShotAttemptsFor_PerGame,scoreAdjustedUnblockedShotAttemptsFor_PerGame,dZoneGiveawaysFor_PerGame,xGoalsFromxReboundsOfShotsFor_PerGame,xGoalsFromActualReboundsOfShotsFor_PerGame,reboundxGoalsFor_PerGame,totalShotCreditFor_PerGame,scoreAdjustedTotalShotCreditFor_PerGame,scoreFlurryAdjustedTotalShotCreditFor_PerGame,xOnGoalAgainst_PerGame,xGoalsAgainst_PerGame,xReboundsAgainst_PerGame,xFreezeAgainst_PerGame,xPlayStoppedAgainst_PerGame,xPlayContinuedInZoneAgainst_PerGame,xPlayContinuedOutsideZoneAgainst_PerGame,flurryAdjustedxGoalsAgainst_PerGame,scoreVenueAdjustedxGoalsAgainst_PerGame,flurryScoreVenueAdjustedxGoalsAgainst_PerGame,shotsOnGoalAgainst_PerGame,missedShotsAgainst_PerGame,blockedShotAttemptsAgainst_PerGame,shotAttemptsAgainst_PerGame,goalsAgainst_PerGame,reboundsAgainst_PerGame,reboundGoalsAgainst_PerGame,freezeAgainst_PerGame,playStoppedAgainst_PerGame,playContinuedInZoneAgainst_PerGame,playContinuedOutsideZoneAgainst_PerGame,savedShotsOnGoalAgainst_PerGame,savedUnblockedShotAttemptsAgainst_PerGame,penalityMinutesAgainst_PerGame,faceOffsWonAgainst_PerGame,hitsAgainst_PerGame,takeawaysAgainst_PerGame,giveawaysAgainst_PerGame,lowDangerShotsAgainst_PerGame,mediumDangerShotsAgainst_PerGame,highDangerShotsAgainst_PerGame,lowDangerxGoalsAgainst_PerGame,mediumDangerxGoalsAgainst_PerGame,highDangerxGoalsAgainst_PerGame,lowDangerGoalsAgainst_PerGame,mediumDangerGoalsAgainst_PerGame,highDangerGoalsAgainst_PerGame,scoreAdjustedShotsAttemptsAgainst_PerGame,unblockedShotAttemptsAgainst_PerGame,scoreAdjustedUnblockedShotAttemptsAgainst_PerGame,dZoneGiveawaysAgainst_PerGame,xGoalsFromxReboundsOfShotsAgainst_PerGame,xGoalsFromActualReboundsOfShotsAgainst_PerGame,reboundxGoalsAgainst_PerGame,totalShotCreditAgainst_PerGame,scoreAdjustedTotalShotCreditAgainst_PerGame,scoreFlurryAdjustedTotalShotCreditAgainst_PerGame,playoff
MIN,2008,0.48,0.48,0.48,26.951341463414636,2.2929268292682927,1.8095121951219513,6.051585365853659,0.8792682926829267,15.443048780487803,11.65390243902439,2.225121951219512,2.298780487804878,2.2309756097560975,27.536585365853657,11.060975609756097,11.975609756097562,50.573170731707314,2.6097560975609757,1.5975609756097562,0.3048780487804878,5.439024390243903,0.5121951219512195,12.146341463414634,16.29268292682927,24.926829268292682,35.98780487804878,10.329268292682928,27.109756097560975,17.902439024390244,5.365853658536586,7.682926829268292,30.353658536585368,6.451219512195122,1.7926829268292683,0.8875609756097561,0.7579268292682927,0.6474390243902439,0.9024390243902439,0.926829268292683,0.7804878048780488,50.71073170731707,38.59756097560975,38.692317073170734,3.7439024390243905,0.40524390243902436,0.2915853658536585,0.2939024390243903,2.373048780487805,2.3785365853658536,2.328048780487805,29.565853658536586,2.4676829268292684,1.9939024390243902,6.798048780487806,0.9558536585365853,16.666707317073172,12.58890243902439,2.3870731707317074,2.463170731707317,2.3826829268292684,30.70731707317073,11.573170731707316,12.597560975609756,54.8780487804878,2.402439024390244,1.7804878048780488,0.35365853658536583,7.548780487804878,0.7317073170731707,13.560975609756097,16.25609756097561,28.304878048780488,39.8780487804878,11.207317073170731,28.79268292682927,17.597560975609756,5.402439024390244,7.097560975609756,33.21951219512195,7.158536585365853,1.9024390243902438,0.9929268292682927,0.8358536585365854,0.6389024390243903,0.8536585365853658,0.8536585365853658,0.6951219512195121,54.75987804878049,42.28048780487805,42.19170731707317,3.1341463414634148,0.44268292682926824,0.3413414634146341,0.36073170731707316,2.495609756097561,2.4924390243902437,2.442073170731707,0
BOS,2008,0.5,0.5,0.51,29.45888888888889,2.7603703703703704,1.9766666666666668,6.665308641975308,0.9522222222222222,16.346296296296295,12.585555555555555,2.665925925925926,2.789012345679012,2.6937037037037035,30.37037037037037,11.123456790123457,12.938271604938272,54.4320987654321,3.2962962962962963,1.6666666666666667,0.37037037037037035,6.518518518518518,0.9506172839506173,13.024691358024691,16.037037037037038,27.074074074074073,38.19753086419753,11.37037037037037,29.135802469135804,22.123456790123456,6.111111111111111,5.901234567901234,30.901234567901234,8.0,2.5925925925925926,0.8648148148148148,0.9596296296296297,0.9358024691358025,1.0864197530864197,1.1851851851851851,1.0246913580246915,55.45888888888889,41.49382716049383,42.09246913580247,3.259259259259259,0.4387654320987654,0.3211111111111111,0.33395061728395065,2.850864197530864,2.876543209876543,2.8085185185185186,29.279999999999998,2.667037037037037,1.9293827160493828,6.617037037037037,0.9532098765432098,15.995185185185184,12.55641975308642,2.5744444444444445,2.6449382716049383,2.5527160493827163,30.80246913580247,10.123456790123457,12.962962962962964,53.888888888888886,2.3209876543209877,1.9259259259259258,0.4567901234567901,7.432098765432099,0.7407407407407407,11.839506172839506,16.666666666666668,28.48148148148148,38.60493827160494,11.88888888888889,27.97530864197531,23.14814814814815,6.320987654320987,7.691358024691358,30.91358024691358,7.530864197530864,2.4814814814814814,0.8783950617283951,0.8986419753086421,0.89,0.691358024691358,0.8395061728395061,0.7901234567901234,53.007283950617285,40.925925925925924,40.42098765432099,3.617283950617284,0.4296296296296296,0.43987654320987657,0.455679012345679,2.628024691358025,2.6039506172839504,2.5474074074074076,1
ARI,2008,0.46,0.47,0.47,27.009382716049384,2.414320987654321,1.8493827160493828,6.1103703703703705,0.8767901234567901,15.300123456790123,11.58604938271605,2.3281481481481485,2.415185185185185,2.328888888888889,28.012345679012345,10.851851851851851,12.45679012345679,51.32098765432099,2.4691358024691357,1.7160493827160495,0.38271604938271603,6.530864197530864,0.7407407407407407,11.74074074074074,15.666666666666666,25.54320987654321,36.39506172839506,11.901234567901234,25.506172839506174,22.135802469135804,4.703703703703703,4.962962962962963,30.22222222222222,6.481481481481482,2.1604938271604937,0.8723456790123456,0.7714814814814815,0.7704938271604937,0.7901234567901234,0.8641975308641975,0.8148148148148148,51.09765432098765,38.864197530864196,38.81049382716049,2.246913580246914,0.41444444444444445,0.3358024691358025,0.3387654320987655,2.4424691358024693,2.442345679012346,2.3798765432098765,30.842345679012347,2.762962962962963,2.0696296296296293,6.95,1.0069135802469136,17.462345679012348,13.736172839506175,2.6766666666666667,2.7758024691358023,2.689753086419753,31.54320987654321,13.160493827160494,14.654320987654321,59.358024691358025,3.0617283950617282,2.0,0.5925925925925926,6.135802469135802,1.0123456790123457,14.469135802469136,18.02469135802469,28.48148148148148,41.641975308641975,13.358024691358025,31.246913580246915,21.864197530864196,5.493827160493828,6.148148148148148,35.01234567901235,7.444444444444445,2.246913580246914,1.011111111111111,0.8951851851851852,0.8567901234567902,0.8765432098765432,1.1481481481481481,1.037037037037037,59.74111111111111,44.7037037037037,45.00271604938271,2.814814814814815,0.4559259259259259,0.41271604938271605,0.42000000000000004,2.7512345679012347,2.762962962962963,2.708395061728395,0
L.A,2008,0.51,0.51,0.51,29.853658536585368,2.747439024390244,2.122439024390244,6.67829268292683,0.975609756097561,17.133658536585365,12.453170731707317,2.635975609756098,2.745365853658537,2.633780487804878,29.0609756097561,13.585365853658537,13.329268292682928,55.97560975609756,2.4634146341463414,2.292682926829268,0.5609756097560976,5.926829268292683,0.7195121951219512,16.621951219512194,14.634146341463415,26.597560975609756,40.18292682926829,13.548780487804878,28.902439024390244,25.951219512195124,5.658536585365853,11.317073170731707,32.36585365853659,7.963414634146342,2.317073170731707,0.9641463414634147,0.9767073170731708,0.8067073170731708,0.7195121951219512,0.7926829268292683,0.9512195121951219,55.825609756097556,42.646341463414636,42.58548780487805,5.7926829268292686,0.4796341463414634,0.4602439024390244,0.4680487804878049,2.7241463414634146,2.720609756097561,2.6398780487804876,28.422073170731707,2.6923170731707318,1.969878048780488,6.323170731707317,0.9103658536585366,16.105,11.953658536585367,2.5935365853658534,2.6952439024390245,2.596951219512195,28.073170731707318,12.621951219512194,12.682926829268293,53.3780487804878,2.7560975609756095,1.8170731707317074,0.36585365853658536,6.060975609756097,0.7560975609756098,14.536585365853659,14.78048780487805,25.317073170731707,37.9390243902439,13.195121951219512,26.695121951219512,24.5,5.780487804878049,11.28048780487805,31.109756097560975,7.134146341463414,2.451219512195122,0.9369512195121951,0.8642682926829269,0.891219512195122,0.8658536585365854,0.975609756097561,0.9146341463414634,53.454024390243895,40.69512195121951,40.76731707317073,5.7439024390243905,0.4398780487804878,0.3564634146341463,0.3720731707317073,2.7114634146341463,2.716341463414634,2.6484146341463415,0
COL,2008,0.47,0.48,0.49,26.916951219512196,2.483048780487805,1.906219512195122,6.045243902439024,0.8821951219512195,14.914756097560975,11.198170731707316,2.3898780487804876,2.4717073170731707,2.378658536585366,28.76829268292683,10.097560975609756,12.158536585365853,51.02439024390244,2.317073170731707,2.1951219512195124,0.4634146341463415,6.7073170731707314,0.7439024390243902,11.25609756097561,15.646341463414634,26.451219512195124,36.548780487804876,11.634146341463415,26.817073170731707,17.829268292682926,8.060975609756097,8.512195121951219,29.646341463414632,7.121951219512195,2.097560975609756,0.9369512195121951,0.8709756097560976,0.6751219512195122,0.7804878048780488,0.8292682926829268,0.7073170731707317,50.36841463414634,38.86585365853659,38.44780487804878,3.768292682926829,0.42378048780487804,0.444390243902439,0.4447560975609756,2.3665853658536586,2.3512195121951223,2.3070731707317074,28.44975609756098,2.62780487804878,1.920609756097561,6.4502439024390235,0.941829268292683,15.753658536585366,12.303780487804877,2.549512195121951,2.653780487804878,2.5745121951219514,28.975609756097562,12.390243902439025,16.0609756097561,57.426829268292686,3.0853658536585367,2.402439024390244,0.5975609756097561,6.280487804878049,0.9634146341463414,12.658536585365853,15.975609756097562,25.890243902439025,38.28048780487805,12.048780487804878,29.28048780487805,16.817073170731707,8.158536585365853,8.195121951219512,32.390243902439025,6.695121951219512,2.2804878048780486,0.9982926829268293,0.8120731707317074,0.817439024390244,1.0731707317073171,0.9878048780487805,1.024390243902439,58.15012195121952,41.36585365853659,41.898048780487805,3.548780487804878,0.4247560975609756,0.4502439024390244,0.4625609756097561,2.500121951219512,2.524268292682927,2.4768292682926827,0
DAL,2008,0.51,0.51,0.49,28.855243902439025,2.564390243902439,1.9629268292682929,6.426707317073171,0.9329268292682927,16.218780487804878,12.602439024390245,2.4552439024390247,2.566707317073171,2.456829268292683,28.902439024390244,12.341463414634147,11.585365853658537,52.829268292682926,2.731707317073171,2.0,0.524390243902439,6.146341463414634,0.7926829268292683,14.170731707317072,15.402439024390244,26.170731707317074,38.51219512195122,12.707317073170731,25.853658536585368,25.317073170731707,8.085365853658537,9.682926829268293,32.109756097560975,6.951219512195122,2.182926829268293,0.9495121951219512,0.8382926829268292,0.7765853658536586,0.8292682926829268,1.048780487804878,0.8536585365853658,52.6730487804878,41.24390243902439,41.19878048780488,4.670731707317073,0.44,0.4447560975609756,0.4458536585365854,2.5228048780487806,2.520243902439024,2.453048780487805,28.02841463414634,2.714146341463415,1.937560975609756,6.198536585365853,0.9003658536585366,15.58439024390244,11.726585365853659,2.6020731707317073,2.7282926829268295,2.616341463414634,28.097560975609756,11.670731707317072,11.975609756097562,51.74390243902439,3.0609756097560976,2.024390243902439,0.5365853658536586,5.646341463414634,0.8292682926829268,12.609756097560975,15.597560975609756,25.036585365853657,36.707317073170735,13.109756097560975,28.20731707317073,26.670731707317074,7.109756097560975,10.134146341463415,30.146341463414632,7.121951219512195,2.5,0.9084146341463414,0.8687804878048779,0.9368292682926829,0.926829268292683,1.1097560975609757,1.024390243902439,52.03658536585366,39.76829268292683,39.954146341463414,5.695121951219512,0.43439024390243897,0.4621951219512195,0.47097560975609754,2.6330487804878047,2.647317073170732,2.5691463414634144,0
TOR,2008,0.5,0.51,0.49,32.10728395061729,2.9709876543209877,2.1481481481481484,7.305061728395062,1.0616049382716048,17.938024691358024,13.29469135802469,2.8448148148148147,2.963827160493827,2.8374074074074076,31.765432098765434,13.160493827160494,14.950617283950617,59.876543209876544,2.9876543209876543,2.0617283950617282,0.7037037037037037,7.148148148148148,1.123456790123457,15.358024691358025,16.246913580246915,28.77777777777778,41.93827160493827,12.37037037037037,29.123456790123456,21.432098765432098,7.234567901234568,10.382716049382717,34.074074074074076,7.987654320987654,2.8641975308641974,0.9603703703703704,0.9482716049382717,1.0623456790123456,1.037037037037037,0.8271604938271605,1.123456790123457,59.20123456790124,44.925925925925924,44.63012345679012,6.506172839506172,0.4798765432098765,0.5449382716049382,0.6309876543209877,2.806172839506173,2.791728395061728,2.7191358024691357,31.354074074074074,3.0766666666666667,2.130493827160494,6.832716049382717,1.0320987654320988,17.278765432098766,13.351975308641975,2.955432098765432,3.1082716049382717,2.984938271604938,30.358024691358025,13.506172839506172,15.296296296296296,59.160493827160494,3.493827160493827,1.4938271604938271,0.5802469135802469,5.703703703703703,1.1851851851851851,15.271604938271604,16.71604938271605,26.864197530864196,40.370370370370374,12.654320987654321,28.962962962962962,23.74074074074074,8.530864197530864,10.481481481481481,32.30864197530864,8.567901234567902,2.9876543209876543,0.9391358024691357,1.0450617283950618,1.0923456790123458,1.1728395061728396,1.0740740740740742,1.2469135802469136,60.04172839506173,43.864197530864196,44.35666666666666,6.555555555555555,0.47419753086419747,0.4217283950617284,0.46407407407407414,3.0771604938271606,3.1077777777777778,3.0344444444444445,0
CAR,2008,0.52,0.52,0.5,32.19634146341463,2.9367073170731706,2.2129268292682926,7.427926829268293,1.0408536585365853,18.024756097560974,13.388048780487804,2.831219512195122,2.9408536585365854,2.835,32.6219512195122,13.207317073170731,15.487804878048781,61.31707317073171,2.8780487804878048,2.7195121951219514,0.6707317073170732,6.780487804878049,0.8780487804878049,15.036585365853659,17.536585365853657,29.74390243902439,42.951219512195124,9.560975609756097,29.670731707317074,20.926829268292682,8.109756097560975,6.146341463414634,35.58536585365854,7.341463414634147,2.902439024390244,1.0530487804878048,0.8876829268292684,0.9959756097560976,0.8902439024390244,0.8658536585365854,1.1219512195121952,61.414756097560975,45.829268292682926,45.93914634146342,3.1951219512195124,0.4952439024390244,0.5530487804878049,0.5664634146341464,2.813048780487805,2.8178048780487805,2.763658536585366,29.447439024390246,2.892682926829268,2.0314634146341466,6.663536585365853,0.9606097560975609,16.295243902439026,12.390487804878049,2.7884146341463416,2.901585365853659,2.797439024390244,29.5,12.463414634146341,14.560975609756097,56.52439024390244,2.6951219512195124,2.6341463414634148,0.5365853658536586,5.658536585365853,0.975609756097561,13.25609756097561,16.74390243902439,26.804878048780488,39.26829268292683,11.524390243902438,28.158536585365855,23.841463414634145,7.951219512195122,6.987804878048781,31.817073170731707,7.304878048780488,2.841463414634146,0.9656097560975611,0.8974390243902439,1.0295121951219512,0.8292682926829268,0.8536585365853658,1.0121951219512195,56.53390243902439,41.96341463414634,41.930365853658536,3.658536585365854,0.45304878048780484,0.557560975609756,0.5910975609756097,2.706829268292683,2.7104878048780487,2.652073170731707,1
OTT,2008,0.5,0.5,0.5,28.21390243902439,2.620487804878049,1.9093902439024388,6.309146341463415,0.9003658536585366,15.62560975609756,12.042560975609756,2.536829268292683,2.616341463414634,2.532560975609756,29.682926829268293,10.5,13.048780487804878,53.23170731707317,2.6097560975609757,1.7439024390243902,0.3048780487804878,6.2317073170731705,0.8292682926829268,12.78048780487805,15.987804878048781,27.073170731707318,37.573170731707314,12.097560975609756,29.085365853658537,23.878048780487806,8.048780487804878,9.170731707317072,30.634146341463413,7.2073170731707314,2.341463414634146,0.9120731707317074,0.8646341463414635,0.8439024390243903,0.9146341463414634,1.024390243902439,0.6707317073170732,53.06792682926829,40.18292682926829,40.08073170731707,5.146341463414634,0.42865853658536585,0.3545121951219512,0.37414634146341463,2.6241463414634145,2.6167073170731707,2.5696341463414636,27.616463414634147,2.6470731707317072,1.8621951219512194,6.214146341463414,0.8826829268292682,15.417560975609756,11.746463414634146,2.5369512195121953,2.6567073170731708,2.5460975609756096,28.829268292682926,10.841463414634147,14.21951219512195,53.890243902439025,2.8292682926829267,1.9146341463414633,0.3780487804878049,5.548780487804878,0.8658536585365854,12.695121951219512,15.817073170731707,26.0,36.84146341463415,12.024390243902438,27.097560975609756,23.134146341463413,7.5,10.146341463414634,30.146341463414632,7.048780487804878,2.475609756097561,0.901219512195122,0.8415853658536586,0.9043902439024389,1.048780487804878,0.8780487804878049,0.9024390243902439,54.072804878048785,39.670731707317074,39.82524390243903,6.451219512195122,0.4136585365853659,0.3831707317073171,0.419390243902439,2.580975609756097,2.589390243902439,2.517560975609756,0
BUF,2008,0.49,0.49,0.51,28.729634146341464,2.635,1.953048780487805,6.502439024390244,0.9317073170731708,16.244390243902437,12.303170731707317,2.5389024390243904,2.6507317073170733,2.5542682926829268,30.573170731707318,10.646341463414634,12.731707317073171,53.951219512195124,2.951219512195122,1.7804878048780488,0.6341463414634146,5.682926829268292,0.9024390243902439,13.71951219512195,16.182926829268293,27.621951219512194,38.26829268292683,12.134146341463415,27.304878048780488,17.78048780487805,5.536585365853658,10.621951219512194,31.76829268292683,6.841463414634147,2.6097560975609757,0.9084146341463414,0.8156097560975609,0.9108536585365853,0.7560975609756098,1.024390243902439,1.170731707317073,54.30987804878048,41.21951219512195,41.43134146341463,5.853658536585366,0.43792682926829263,0.41780487804878047,0.4258536585365854,2.604756097560976,2.61609756097561,2.5498780487804877,29.687926829268292,2.5778048780487803,1.988048780487805,6.749634146341464,0.9739024390243902,16.958170731707316,12.93329268292683,2.471829268292683,2.571341463414634,2.4657317073170733,31.402439024390244,11.621951219512194,13.207317073170731,56.23170731707317,2.792682926829268,1.548780487804878,0.32926829268292684,6.439024390243903,0.9146341463414634,14.182926829268293,17.146341463414632,28.609756097560975,40.23170731707317,12.585365853658537,30.29268292682927,19.695121951219512,6.414634146341464,9.829268292682928,33.548780487804876,7.463414634146342,2.0121951219512195,0.9510975609756097,0.8960975609756098,0.7307317073170732,1.048780487804878,0.9024390243902439,0.8414634146341463,56.07426829268293,43.02439024390244,43.00780487804878,4.878048780487805,0.4451219512195122,0.32804878048780484,0.3467073170731707,2.6196341463414634,2.6141463414634147,2.5323170731707316,0
